"source","target","value"
"Software","Software",0
"S-INU_correction","Software",0
"S-Denoised","Software",0
"S-Gradient_Distortion_Correction","Software",0
"S-Fuse_conform","Software",0
"S-Skull_stripping","Software",0
"S-Spatial_normalization","Software",0
"S-BBR_crossmodal_registration","Software",0
"S-Surface_reconstruction","Software",0
"S-Segmentation","Software",0
"F-Exclusion","Software",0
"F-Concatenate_Runs","Software",0
"F-Removal_Init_Vol","Software",0
"F-Skull_extraction","Software",0
"F-Alignment/Head_motion_est","Software",0
"F-Despiking","Software",0
"F-Scrubbing","Software",0
"F-Interpolate","Software",0
"F-Slice_timing_correction","Software",0
"F-Field_map_correction","Software",0
"F-Unwarp","Software",0
"F-Combined_echos","Software",0
"F-Intensity_normalization","Software",0
"F-Grand_mean_scaling","Software",0
"F-Coregistration","Software",0
"F-Spatial_normalization","Software",0
"F-Spatial_smooth","Software",0
"F-Extract_regressors","Software",0
"F-surface","Software",0
"F-RETROICOR","Software",0
"F-RVHRCOR","Software",0
"F-ANATICOR","Software",0
"F-PESTICA","Software",0
"F-CompCor","Software",0
"F-tCompCor","Software",0
"F-aCompCor","Software",0
"F-ME_ICA","Software",0
"F-ArtRepair","Software",0
"F-Temporal_detrending","Software",0
"F-Global_signal","Software",0
"F-ICA_FIX","Software",0
"F-ICA_AROMA","Software",0
"F-Temporal_filt","Software",0
"F-motion_regression","Software",0
"F-Other_confound_regression","Software",0
"F-PhysIO","Software",0
"F-Regressors_filter","Software",0
"F-Modular_filter_motion","Software",0
"F-wavelet_decomposition","Software",0
"Atlas_definition","Software",0
"Time_series_ROI","Software",0
"ROI_definition","Software",0
"Combine_block","Software",0
"Compute_connectivity","Software",0
"Connectivity_normalization","Software",0
"Network_definition","Software",0
"Graph_characteristics","Software",0
"Negative_correlation","Software",0
"Sparsity_control","Software",0
"Graph_measures","Software",0
"Result_aggregation","Software",0
"Software","S-INU_correction",5
"S-INU_correction","S-INU_correction",0
"S-Denoised","S-INU_correction",1
"S-Gradient_Distortion_Correction","S-INU_correction",0
"S-Fuse_conform","S-INU_correction",0
"S-Skull_stripping","S-INU_correction",0
"S-Spatial_normalization","S-INU_correction",0
"S-BBR_crossmodal_registration","S-INU_correction",20
"S-Surface_reconstruction","S-INU_correction",0
"S-Segmentation","S-INU_correction",0
"F-Exclusion","S-INU_correction",0
"F-Concatenate_Runs","S-INU_correction",0
"F-Removal_Init_Vol","S-INU_correction",1
"F-Skull_extraction","S-INU_correction",0
"F-Alignment/Head_motion_est","S-INU_correction",0
"F-Despiking","S-INU_correction",0
"F-Scrubbing","S-INU_correction",0
"F-Interpolate","S-INU_correction",0
"F-Slice_timing_correction","S-INU_correction",0
"F-Field_map_correction","S-INU_correction",0
"F-Unwarp","S-INU_correction",0
"F-Combined_echos","S-INU_correction",0
"F-Intensity_normalization","S-INU_correction",0
"F-Grand_mean_scaling","S-INU_correction",0
