"Names","Names_vis","Groups","Definition","Groups.type","size"
"Software","Software","Software","Software used for fMRI image preprocessing.",5,210
"S-INU_correction","INUCorr","Structural_preprocessing","Correction of intensity non-uniformity.",6,27
"S-Denoised","StructDenoise","Structural_preprocessing","Anatomical T1 images were denoised with non-local means (Manjón et al., 2010).",6,1
"S-Gradient_Distortion_Correction","GradDistCorr","Structural_preprocessing","Introduced by the HCP team by using a customized version of the gradient_nonlin_unwarp in FreeSurfer. This requires files describing gradient nonlinearities. It is performed to correct distortion and improve the registration between functional and structural images.",6,21
"S-Fuse_conform","FuseConform","Structural_preprocessing","Fuse multiple T1w volumes  (when several T1w volumes are found).",6,0
"S-Skull_stripping","StructSkullStrip","Structural_preprocessing","Remove the non-brain tissue (structural images).",6,41
"S-Spatial_normalization","StructSpaNorm","Structural_preprocessing","Normalization to standard space (MNI (Montreal Neurological Institute), Talairach, or others).",6,79
"S-BBR_crossmodal_registration","StructBBRReg","Structural_preprocessing","Registration of T1w and T2w.",6,20
"S-Surface_reconstruction","StructSurface","Structural_preprocessing","Transformation from volumetric space to surface.",6,2
"S-Segmentation","StructSegment","Structural_preprocessing","Brain segmentation into white matter, grey matter, and cerebrospinal fluid.",6,69
"F-Exclusion","SubjExclude","Functional_preprocessing","Exclusion of individuals based on some thresholds (DVARS, FD, movement).",2,40
"F-Concatenate_Runs","RunConcat","Functional_preprocessing","If there are more than one runs (resting), this step concatenate the time series across runs.",2,2
"F-Removal_Init_Vol","InitVolRemove","Functional_preprocessing","Removing initial volume of functional images to reach the steady state condition.",2,90
"F-Skull_extraction","FuncSkullStrip","Functional_preprocessing","Remove the non-brain tissue (functional images).",2,17
"F-Alignment/Head_motion_est","Alignment","Functional_preprocessing","Correcting for head motion by aligning the fMRI volumes to a reference volume (first, middle, mean, etc). In addition, head motion parameter are also estimated.",2,197
"F-Despiking","Despike","Functional_preprocessing","Truncating large spikes in fMRI time series.",2,17
"F-Scrubbing","Scrub","Functional_preprocessing","Also known as censoring, to remove volume with high head motion.",2,63
"F-Interpolate","Interpolate","Functional_preprocessing","Interpolating the volumes that were scrubbed.",2,14
"F-Slice_timing_correction","SliceTimeCorrect","Functional_preprocessing","Correcting for slice-dependent delays, achieved by shifting the time series of each slice to temporally align all slices to a reference time-point.",2,142
"F-Field_map_correction","FieldMapCorrect","Functional_preprocessing","Known also as distortion correction, correcting the field inhomogeneities cause geometric distortions of echo planar images.",2,32
"F-Unwarp","Unwarp","Functional_preprocessing","Estimation and removal of movement-by-susceptibility induced variance in fMRI time series.",2,30
"F-Combined_echos","EchoCombine","Functional_preprocessing","Only applicable for scans with multiple echoes, this steps aims to combine the images from different echoes.",2,1
"F-Intensity_normalization","IntensNormalize","Functional_preprocessing","Because MRI data does not have a specific unit, different MRI data might have different ranges of intensity values. Intensity normalization is performed to standardize the range of intensity values across all 4D volumes with a specific value.",2,29
"F-Grand_mean_scaling","GrandMeanScale","Functional_preprocessing","Grand mean scaling sets the image mean, defined as the within-scan mean across all voxels and time points, to a predefined value. The grand mean is closely related to scanner parameters such as RF power or amplifier gain but not to neural mechanisms (Gavrilescu et al., 2002). Adjusting the grand mean via scaling makes analysis results more interpretable and comparable across subjects, sessions, and sites. It is also known as global mean scaling.",2,14
"F-Coregistration","Coregister","Functional_preprocessing","Co-registration of structural and functional images.",2,139
"F-Spatial_normalization","FuncSpaNorm","Functional_preprocessing","Normalization to standard space using the parameters from the structural normalization.",2,192
