Starting multiverse analysis for all universes...
Subject 1/100 done. Global efficiency: 0.2771294897146782
Subject 2/100 done. Global efficiency: 0.3478345830262766
Subject 3/100 done. Global efficiency: 0.21849866407148494
Subject 4/100 done. Global efficiency: 0.3046556328108768
Subject 5/100 done. Global efficiency: 0.31194737658160243
Subject 6/100 done. Global efficiency: 0.25701836176071724
Subject 7/100 done. Global efficiency: 0.19970435181587945
Subject 8/100 done. Global efficiency: 0.317483519646288
Subject 9/100 done. Global efficiency: 0.20887422707283929
Subject 10/100 done. Global efficiency: 0.18996778777651152
Subject 11/100 done. Global efficiency: 0.2215117803894976
Subject 12/100 done. Global efficiency: 0.19099356196751333
Subject 13/100 done. Global efficiency: 0.2164861638286287
Subject 14/100 done. Global efficiency: 0.33610704896873245
Subject 15/100 done. Global efficiency: 0.2428147423603316
Subject 16/100 done. Global efficiency: 0.2266859698479122
Subject 17/100 done. Global efficiency: 0.2506397417575046
Subject 18/100 done. Global efficiency: 0.20943091759842333
Subject 19/100 done. Global efficiency: 0.25388263034023023
Subject 20/100 done. Global efficiency: 0.2411873851034388
Subject 21/100 done. Global efficiency: 0.24321721933070461
Subject 22/100 done. Global efficiency: 0.2569932909255492
Subject 23/100 done. Global efficiency: 0.20596594673485843
Subject 24/100 done. Global efficiency: 0.21534390904860734
Subject 25/100 done. Global efficiency: 0.2031101933684818
Subject 26/100 done. Global efficiency: 0.25768898990055694
Subject 27/100 done. Global efficiency: 0.30179072379035593
Subject 28/100 done. Global efficiency: 0.20113993401151295
Subject 29/100 done. Global efficiency: 0.23438056358331602
Subject 30/100 done. Global efficiency: 0.1841034776044517
Subject 31/100 done. Global efficiency: 0.19853025349387138
Subject 32/100 done. Global efficiency: 0.17502891920933392
Subject 33/100 done. Global efficiency: 0.2927366926361871
Subject 34/100 done. Global efficiency: 0.1940207508962785
Subject 35/100 done. Global efficiency: 0.16340998694969697
Subject 36/100 done. Global efficiency: 0.20429829022488133
Subject 37/100 done. Global efficiency: 0.18551078347352412
Subject 38/100 done. Global efficiency: 0.1238184217860773
Subject 39/100 done. Global efficiency: 0.24163441610170386
Subject 40/100 done. Global efficiency: 0.23268057803842518
Subject 41/100 done. Global efficiency: 0.18922087081069017
Subject 42/100 done. Global efficiency: 0.23744659041765093
Subject 43/100 done. Global efficiency: 0.14891012794557557
Subject 44/100 done. Global efficiency: 0.2776920760675846
Subject 45/100 done. Global efficiency: 0.22721761111021854
Subject 46/100 done. Global efficiency: 0.24713010709005626
Subject 47/100 done. Global efficiency: 0.2866811118895473
Subject 48/100 done. Global efficiency: 0.16597550633938402
Subject 49/100 done. Global efficiency: 0.16599364832186705
Subject 50/100 done. Global efficiency: 0.18996186358170483
Subject 51/100 done. Global efficiency: 0.19109250662250563
Subject 52/100 done. Global efficiency: 0.1920258571347258
Subject 53/100 done. Global efficiency: 0.27595175969369723
Subject 54/100 done. Global efficiency: 0.22147430415248537
Subject 55/100 done. Global efficiency: 0.28908089125146613
Subject 56/100 done. Global efficiency: 0.14485676067731013
Subject 57/100 done. Global efficiency: 0.15482970100464044
Subject 58/100 done. Global efficiency: 0.25524119313772986
Subject 59/100 done. Global efficiency: 0.24815833596834805
Subject 60/100 done. Global efficiency: 0.20426634088278167
Subject 61/100 done. Global efficiency: 0.20758948441994737
Subject 62/100 done. Global efficiency: 0.18423733926390204
Subject 63/100 done. Global efficiency: 0.1823135474250681
Subject 64/100 done. Global efficiency: 0.15709104808215982
